Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2020-06-27 06:15:40,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:40,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:41,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:15:41,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:41,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:42,enp0s31f6,11620.00,5.00,16206.68,0.60,0.00,0.00,0.00,13.28
2020-06-27 06:15:42,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:15:42,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:43,enp0s31f6,11621.00,5.00,16206.77,0.97,0.00,0.00,1.00,13.28
2020-06-27 06:15:43,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:43,wlp3s0,2.00,2.00,0.15,0.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:44,enp0s31f6,11622.00,5.00,16206.86,0.48,0.00,0.00,2.00,13.28
2020-06-27 06:15:44,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:44,wlp3s0,1.00,1.00,0.13,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:45,enp0s31f6,11620.00,2.00,16206.68,0.18,0.00,0.00,0.00,13.28
2020-06-27 06:15:45,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:45,wlp3s0,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00
2020-06-27 06:15:46,enp0s31f6,11622.00,7.00,16206.86,0.99,0.00,0.00,2.00,13.28
2020-06-27 06:15:46,lo,1922.00,1922.00,61653.38,61653.38,0.00,0.00,0.00,0.00
2020-06-27 06:15:46,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:47,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:15:47,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:47,wlp3s0,4.00,5.00,0.32,0.66,0.00,0.00,0.00,0.00
2020-06-27 06:15:48,enp0s31f6,11621.00,4.00,16206.77,0.38,0.00,0.00,1.00,13.28
2020-06-27 06:15:48,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:48,wlp3s0,2.00,2.00,0.16,0.21,0.00,0.00,0.00,0.00
2020-06-27 06:15:49,enp0s31f6,11621.00,3.00,16206.77,0.27,0.00,0.00,1.00,13.28
2020-06-27 06:15:49,lo,1920.00,1920.00,61653.20,61653.20,0.00,0.00,0.00,0.00
2020-06-27 06:15:49,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-06-27 06:15:50,enp0s31f6,11620.00,5.00,16206.68,0.60,0.00,0.00,0.00,13.28
2020-06-27 06:15:50,lo,1924.00,1924.00,61653.56,61653.56,0.00,0.00,0.00,0.00
2020-06-27 06:15:50,wlp3s0,3.00,2.00,0.59,0.39,0.00,0.00,0.00,0.00
2020-06-27 06:15:51,enp0s31f6,11621.00,5.00,16206.77,0.97,0.00,0.00,1.00,13.28
