recv_stamp,msg_stamp
1592492597898196178,1592492597865974016
1592492598025820091,1592492597994858694
1592492598151868444,1592492598122987359
1592492598188900886,1592492598176166795
1592492598300190032,1592492598268341192
1592492598429914431,1592492598397289957
1592492598560182351,1592492598527775922
1592492598582468089,1592492598568353662
1592492598706066612,1592492598674635971
1592492598835261162,1592492598803550823
1592492598967457831,1592492598931721468
1592492598982796010,1592492598969055325
1592492599113233126,1592492599080909547
1592492599240303087,1592492599210587128
1592492599355890311,1592492599326197318
1592492599480675924,1592492599451163981
1592492599611709163,1592492599577790255
1592492599734032812,1592492599701941480
1592492599749718082,1592492599737873475
1592492599879024128,1592492599847307900
1592492600005943487,1592492599976168991
1592492600120897716,1592492600088724415
1592492600178317846,1592492600161322104
1592492600305497508,1592492600275441615
1592492600435277871,1592492600402825102
1592492600497977975,1592492600481637707
1592492600575037655,1592492600544148058
1592492600704016290,1592492600672358175
1592492600830799593,1592492600801180859
1592492600888861908,1592492600871500170
1592492600987596387,1592492600958990515
1592492601112703420,1592492601084804555
1592492601238218312,1592492601210607742
1592492601268021187,1592492601255104013
1592492601381684391,1592492601351933506
1592492601510614239,1592492601479319980
1592492601620061457,1592492601607485655
1592492601632988611,1592492601624719687
1592492601754689557,1592492601723915477
1592492601879872335,1592492601851961003
1592492601985085368,1592492601976231173
1592492601994831308,1592492601986463624
1592492602124053742,1592492602092647617
1592492602253793389,1592492602221558280
1592492602370898584,1592492602340312358
1592492602402110046,1592492602387828045
1592492602530219491,1592492602499688402
1592492602657287489,1592492602626949897
1592492602759035169,1592492602726972110
1592492602838536297,1592492602806715491
1592492602965513097,1592492602935624462
1592492603094165662,1592492603062907831
1592492603157702494,1592492603133247310
1592492603284361345,1592492603252827572
1592492603411749223,1592492603381722245
1592492603534491164,1592492603502894742
1592492603580387465,1592492603565988870
1592492603709165720,1592492603677827668
1592492603835653383,1592492603805905927
1592492603923324455,1592492603890303581
1592492603985247686,1592492603968434130
1592492604114088148,1592492604082546539
1592492604240961277,1592492604211417331
1592492604299719528,1592492604282497034
1592492604350982131,1592492604338773221
1592492604480421291,1592492604448897131
1592492604606895611,1592492604577809805
1592492604667422239,1592492604655124142
1592492604768842050,1592492604737164606
1592492604895705312,1592492604866060189
1592492605024147475,1592492604992682315
1592492605055898262,1592492605041007597
1592492605169275421,1592492605137913938
1592492605296331313,1592492605266050956
1592492605422294423,1592492605393424501
1592492605438148345,1592492605427820835
1592492605559276786,1592492605527865347
1592492605685981881,1592492605656766524
1592492605814649676,1592492605783318805
1592492605846094370,1592492605831757752
1592492605975610778,1592492605943478713
1592492606105405696,1592492606073147873
1592492606209455151,1592492606175504818
1592492606254649291,1592492606240331850
1592492606381803893,1592492606351995921
1592492606510001160,1592492606479428086
1592492606599245058,1592492606565316743
1592492606660579641,1592492606643408207
1592492606789382181,1592492606758330329
1592492606918716816,1592492606886464691
1592492606982517975,1592492606961434013
1592492607073802196,1592492607041924431
1592492607193566606,1592492607170799883
1592492607323818173,1592492607291902488
1592492607370890131,1592492607350477413
1592492607496688302,1592492607466872980
1592492607625611210,1592492607594293956
1592492607746356048,1592492607715299270
1592492607764353179,1592492607753629639
1592492607894810396,1592492607862255661
1592492608024562372,1592492607991859848
1592492608136145477,1592492608104366835
1592492608159319667,1592492608147394350
1592492608289058283,1592492608257564734
1592492608419471438,1592492608386479144
1592492608526539040,1592492608495820347
1592492608559643594,1592492608548911456
1592492608686079997,1592492608656805778
1592492608814627013,1592492608783399335
1592492608911118683,1592492608879450980
1592492608989042338,1592492608967682530
1592492609113222149,1592492609085650926
1592492609241264634,1592492609210658169
1592492609284379397,1592492609271629877
1592492609384218267,1592492609352901278
1592492609510723433,1592492609480962890
1592492609639069431,1592492609607588357
1592492609673244521,1592492609658341104
1592492609780070542,1592492609749832929
1592492609906168727,1592492609877061036
1592492610034656808,1592492610003683527
1592492610059285525,1592492610044977908
1592492610183892656,1592492610152064198
1592492610310751113,1592492610280970529
1592492610435418976,1592492610404472161
1592492610448831014,1592492610436427084
1592492610576719966,1592492610546609998
1592492610704833413,1592492610673947836
1592492610821087443,1592492610791146266
1592492610848691348,1592492610834827332
1592492610975970409,1592492610946664236
1592492611104232291,1592492611073182534
1592492611209243238,1592492611177076202
1592492611257449498,1592492611236470283
1592492611386637751,1592492611355217556
1592492611512649998,1592492611482587923
1592492611606847125,1592492611572453748
1592492611704800393,1592492611673958090
1592492611831131170,1592492611802082839
1592492611960383972,1592492611927893147
