Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
2020-06-27 06:10:48,6,2.11,0.00,6.32,0.00,0.00,91.58
2020-06-27 06:10:48,7,1.02,0.00,3.06,0.00,0.00,95.92
2020-06-27 06:10:49,0,2.06,0.00,1.03,0.00,0.00,96.91
2020-06-27 06:10:49,1,2.02,0.00,2.02,0.00,0.00,95.96
2020-06-27 06:10:49,2,8.08,0.00,4.04,0.00,0.00,87.88
2020-06-27 06:10:49,3,8.16,0.00,5.10,0.00,0.00,86.73
2020-06-27 06:10:49,4,2.02,0.00,8.08,0.00,0.00,89.90
2020-06-27 06:10:49,5,9.18,0.00,7.14,0.00,0.00,83.67
2020-06-27 06:10:49,6,1.05,0.00,8.42,0.00,0.00,90.53
2020-06-27 06:10:49,7,4.08,0.00,4.08,0.00,0.00,91.84
2020-06-27 06:10:50,0,2.06,0.00,1.03,0.00,0.00,96.91
2020-06-27 06:10:50,1,14.43,0.00,9.28,0.00,0.00,76.29
2020-06-27 06:10:50,2,3.06,0.00,1.02,0.00,0.00,95.92
2020-06-27 06:10:50,3,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:50,4,4.00,0.00,3.00,1.00,0.00,92.00
2020-06-27 06:10:50,5,4.04,0.00,3.03,0.00,0.00,92.93
2020-06-27 06:10:50,6,1.05,0.00,5.26,0.00,0.00,93.68
2020-06-27 06:10:50,7,5.05,0.00,6.06,0.00,0.00,88.89
2020-06-27 06:10:51,0,6.19,0.00,5.15,0.00,0.00,88.66
2020-06-27 06:10:51,1,7.14,0.00,4.08,0.00,0.00,88.78
2020-06-27 06:10:51,2,10.42,0.00,10.42,0.00,0.00,79.17
2020-06-27 06:10:51,3,4.04,0.00,3.03,0.00,0.00,92.93
2020-06-27 06:10:51,4,4.08,0.00,3.06,0.00,0.00,92.86
2020-06-27 06:10:51,5,4.08,0.00,0.00,0.00,0.00,95.92
2020-06-27 06:10:51,6,2.11,0.00,6.32,0.00,0.00,91.58
2020-06-27 06:10:51,7,3.09,0.00,1.03,0.00,0.00,95.88
2020-06-27 06:10:52,0,1.01,0.00,0.00,0.00,0.00,98.99
2020-06-27 06:10:52,1,4.00,0.00,2.00,0.00,0.00,94.00
2020-06-27 06:10:52,2,1.00,0.00,0.00,0.00,0.00,99.00
2020-06-27 06:10:52,3,4.04,0.00,3.03,0.00,0.00,92.93
