recv_stamp,msg_stamp
1588362923289701578,1588362923285036918
1588362923389510548,1588362923384889350
1588362923489519932,1588362923485011057
1588362923589237592,1588362923584728124
1588362923689388093,1588362923684683159
1588362923789417942,1588362923784686617
1588362923889250439,1588362923884713642
1588362923989138451,1588362923984640029
1588362924089390533,1588362924084923838
1588362924189504218,1588362924185030047
1588362924289685453,1588362924285147660
1588362924389735385,1588362924385182313
1588362924489859976,1588362924485196585
1588362924589724366,1588362924585155315
1588362924689711160,1588362924685213544
1588362924789705770,1588362924785047848
1588362924889617103,1588362924885023793
1588362924989703049,1588362924985123853
1588362925089475035,1588362925084999147
1588362925189501920,1588362925185022998
1588362925289915171,1588362925285292282
1588362925389557289,1588362925385115850
1588362925489854034,1588362925485367459
1588362925589978862,1588362925585456819
1588362925690002611,1588362925685473760
1588362925790089721,1588362925785469437
1588362925890004934,1588362925885261115
1588362925989697618,1588362925985179543
1588362926089944309,1588362926085115366
1588362926189649560,1588362926185206340
1588362926289810159,1588362926285125480
1588362926389713732,1588362926385042847
1588362926489700620,1588362926485017334
1588362926589487940,1588362926585036412
1588362926689395732,1588362926684814208
1588362926789599496,1588362926784849259
1588362926889538166,1588362926885022699
1588362926989596444,1588362926985078146
1588362927089548763,1588362927085035937
1588362927189588624,1588362927185099433
1588362927289887823,1588362927285188508
1588362927389796452,1588362927385184753
1588362927489435206,1588362927485095460
1588362927589673194,1588362927585208629
1588362927689567324,1588362927685103567
1588362927789804750,1588362927785377328
1588362927890016157,1588362927885526951
1588362927990179575,1588362927985741089
1588362928090059967,1588362928085607135
1588362928190001425,1588362928185497099
1588362928289666146,1588362928285155326
1588362928389603020,1588362928385017940
1588362928489401890,1588362928484888372
1588362928589199174,1588362928584655382
1588362928689088249,1588362928684429334
1588362928789221637,1588362928784632640
1588362928889613243,1588362928884697621
1588362928989558853,1588362928985146636
1588362929089705652,1588362929085150841
1588362929189747793,1588362929185201836
1588362929289927165,1588362929285355415
1588362929389872554,1588362929385348710
1588362929489837896,1588362929485200344
1588362929589509491,1588362929585120445
1588362929689664494,1588362929685192182
1588362929790055716,1588362929785281243
1588362929889564839,1588362929885072211
1588362929989848238,1588362929985103305
1588362930089825177,1588362930085320349
1588362930189806248,1588362930185111294
1588362930289596125,1588362930285162621
1588362930390012544,1588362930385297740
1588362930490068190,1588362930485504514
1588362930590232923,1588362930585501812
1588362930690050983,1588362930685318200
1588362930789937228,1588362930785384847
1588362930889780205,1588362930885152095
1588362930989455469,1588362930985009897
1588362931089686220,1588362931085201247
1588362931189795841,1588362931185128120
1588362931289571426,1588362931285098575
1588362931389724547,1588362931385110508
1588362931489399970,1588362931484913514
1588362931589921906,1588362931585240119
1588362931689575286,1588362931685079622
1588362931789689429,1588362931785207992
1588362931889521002,1588362931885067462
1588362931990097035,1588362931985356590
1588362932089854043,1588362932085354611
1588362932189586309,1588362932185096408
1588362932289618408,1588362932285136318
1588362932389649757,1588362932385146027
1588362932489579256,1588362932485138293
1588362932589696879,1588362932585247962
1588362932689618698,1588362932685101107
1588362932789700758,1588362932785180845
1588362932890000308,1588362932885261418
1588362932989848177,1588362932985370411
1588362933089620733,1588362933085188943
1588362933189873093,1588362933185270252
1588362933295179275,1588362933290675916
1588362933390076019,1588362933385464378
1588362933490027583,1588362933485358402
1588362933589545211,1588362933585059285
1588362933689673161,1588362933685022832
1588362933789738183,1588362933785014319
1588362933889571512,1588362933884899804
1588362933989939413,1588362933985308029
1588362934089819141,1588362934085278553
1588362934190302755,1588362934185686443
1588362934290321235,1588362934285827628
1588362934390411921,1588362934386036858
1588362934490620297,1588362934486000498
1588362934590454282,1588362934586021875
1588362934690459205,1588362934686019694
1588362934790487420,1588362934785999157
1588362934890337713,1588362934885740059
1588362934990154092,1588362934985714051
1588362935089940886,1588362935085341495
1588362935189523622,1588362935185070796
1588362935289417575,1588362935284911467
1588362935389749046,1588362935385074644
1588362935489654258,1588362935485006563
1588362935589477488,1588362935585095607
1588362935689452593,1588362935684994321
1588362935789638613,1588362935785123288
1588362935890005440,1588362935885281907
1588362935989775477,1588362935985285390
1588362936089867037,1588362936085432670
1588362936190033162,1588362936185443919
1588362936289885814,1588362936285366151
1588362936390064646,1588362936385484869
1588362936489980967,1588362936485490704
1588362936589903775,1588362936585278624
1588362936689862187,1588362936685273430
1588362936789900996,1588362936785302944
1588362936890072895,1588362936885296555
1588362936989849454,1588362936985163989
1588362937089891376,1588362937085353215
1588362937189772873,1588362937185294808
1588362937290079917,1588362937285377958
1588362937389862119,1588362937385139875
1588362937489627229,1588362937485178506
1588362937589910450,1588362937585190454
1588362937689738131,1588362937685172388
1588362937789568938,1588362937785104033
1588362937890069508,1588362937885368358
1588362937989644050,1588362937985135777
1588362938089602038,1588362938085143581
1588362938189677532,1588362938185144394
1588362938289998119,1588362938285446533
1588362938390004150,1588362938385464261
1588362938490365627,1588362938485509276
1588362938589939654,1588362938585477938
1588362938689887033,1588362938685188626
1588362938789864820,1588362938785387611
1588362938889896338,1588362938885479567
1588362938990200590,1588362938985514906
1588362939090227769,1588362939085726080
1588362939190182002,1588362939185810270
1588362939290496072,1588362939285826920
1588362939390442240,1588362939385817117
1588362939490137622,1588362939485698438
1588362939590095686,1588362939585574506
1588362939690243188,1588362939685644744
1588362939789760777,1588362939785250193
1588362939889908897,1588362939885226944
1588362939989945711,1588362939985179706
1588362940090198069,1588362940085113721
1588362940189795068,1588362940185146849
1588362940289800747,1588362940285200533
1588362940389991678,1588362940385488476
1588362940490128131,1588362940485504528
1588362940590088736,1588362940585499520
1588362940690185367,1588362940685488026
1588362940789901621,1588362940785181106
1588362940889775662,1588362940885161008
1588362940989528521,1588362940985047613
1588362941089744262,1588362941085030832
1588362941189615836,1588362941185110415
1588362941289709195,1588362941285179368
1588362941389853627,1588362941385282948
1588362941489896624,1588362941485431599
1588362941590297398,1588362941585860438
1588362941690322811,1588362941685921633
1588362941790350808,1588362941785734254
1588362941890020840,1588362941885574676
1588362941989839872,1588362941985400934
1588362942089774769,1588362942085278815
1588362942189704641,1588362942185176107
1588362942290030661,1588362942285043138
1588362942389775310,1588362942385067789
1588362942489751526,1588362942485072969
1588362942589558472,1588362942585057018
1588362942689817986,1588362942685105441
1588362942789829628,1588362942785336556
1588362942890025556,1588362942885440776
1588362942990157037,1588362942985577082
1588362943090433626,1588362943085724156
1588362943190505751,1588362943185770126
1588362943290174114,1588362943285587758
1588362943390071804,1588362943385514298
1588362943489901361,1588362943485437465
1588362943589987027,1588362943585333217
1588362943690165623,1588362943685540799
1588362943790068740,1588362943785573325
1588362943890250248,1588362943885575207
1588362943990532150,1588362943985862601
1588362944090677753,1588362944085997627
1588362944190852671,1588362944186002091
1588362944290373490,1588362944285896228
1588362944390096718,1588362944385613820
1588362944489899731,1588362944485467782
1588362944589867828,1588362944585328930
1588362944689849303,1588362944685191148
1588362944789991654,1588362944785318734
1588362944890107316,1588362944885366589
1588362944990142191,1588362944985464512
1588362945090043873,1588362945085522106
1588362945190106808,1588362945185595603
1588362945290083308,1588362945285661458
1588362945390289489,1588362945385718630
1588362945490190347,1588362945485736653
1588362945590172579,1588362945585716770
1588362945690197759,1588362945685677995
1588362945790237542,1588362945785709815
1588362945890229120,1588362945885659948
1588362945990332496,1588362945985685206
1588362946090315013,1588362946085581777
1588362946190165433,1588362946185470967
1588362946289990842,1588362946285290628
1588362946389764800,1588362946385194155
1588362946490233114,1588362946485143043
1588362946589706249,1588362946585106349
1588362946689697137,1588362946685029429
1588362946789676509,1588362946784939482
1588362946889523222,1588362946884919508
1588362946989287516,1588362946984873342
1588362947089500147,1588362947084789504
1588362947189439513,1588362947184765061
1588362947289427751,1588362947284852800
1588362947389436002,1588362947384861399
1588362947489448257,1588362947484937233
1588362947589858503,1588362947585039199
1588362947689813383,1588362947685099114
1588362947789867533,1588362947785136898
1588362947889741429,1588362947885194544
1588362947989722966,1588362947985193620
1588362948089624517,1588362948085127523
1588362948189615994,1588362948185148737
1588362948289835975,1588362948285053610
1588362948389525708,1588362948385061994
1588362948489726859,1588362948485020936
1588362948589767709,1588362948585074422
1588362948689775932,1588362948685087687
1588362948790070664,1588362948785100551
